PropertyID,Category,Price,area,Rate/sqft,Posted Date
25074,Other,34000000,2200.0 sq.ft.,15454,2025-03-16
100598,Apartment,3000000,750.0 sq.ft.,4000,2025-02-15
210962,Apartment,8200000,979.0 sq.ft.,8375,2024-11-26
210689,Apartment,36200000,2360.0 sq.ft.,15338,2024-11-08
130817,Apartment,43800000,2380.0 sq.ft.,18403,2025-04-16
95797,Apartment,38000000,2392.0 sq.ft.,15886,2025-02-21
218479,Apartment,10000000,1250.0 sq.ft.,8000,2024-10-09
188038,Apartment,12800000,1326.0 sq.ft.,9653,2024-10-15
204454,Apartment,25000000,2100.0 sq.ft.,11904,2024-11-05
162565,Apartment,4500000,900.0 sq.ft.,5000,2025-01-14
141800,Apartment,21100000,1550.0 sq.ft. | 775.0 sq.ft.,13612,2025-01-21
220356,Other,3200000,600.0 sq.ft.,5333,2024-08-04
27481,Apartment,64000000,3045.0 sq.ft.,21018,2025-04-25
93696,Other,12000000,1326.0 sq.ft.,9049,2025-03-05
181378,Apartment,17999990,2600.0 sq.ft.,6923,2024-10-11
95792,Apartment,53000000,1959.0 sq.ft.,27054,2025-02-21
195953,Apartment,63700000,2896.0 sq.ft.,21995,2024-11-26
174691,Apartment,57109640,3457.0 sq.ft.,16520,2025-03-28
161498,Apartment,5800000,700.0 sq.ft.,8285,2024-12-24
141053,Apartment,55000000,3600.0 sq.ft. | 2880.0 sq.ft. | 2520.0 sq.ft.,15277,2025-01-14
142356,Apartment,49500000,1807.0 sq.ft.,27393,2025-01-04
84930,Other,22500000,1170.0 sq.ft.,19230,2025-02-26
188256,Apartment,61500000,3300.0 sq.ft. | 3000.0 sq.ft. | 2500.0 sq.ft.,18636,2024-10-07
190602,Apartment,23000000,1600.0 sq.ft.,14375,2025-03-10
7354,Apartment,27683200,1688.0 sq.ft. | 1000.0 sq.ft.,16400,2025-03-21
115792,Apartment,20000000,1945.0 sq.ft.,10282,2025-04-05
157577,Penthouse,30000000,3620.0 sq.ft.,8287,2025-04-10
187659,Apartment,18500000,1945.0 sq.ft.,9511,2024-11-07
161852,Apartment,18000000,2215.0 sq.ft.,8126,2025-01-12
201003,Apartment,10000000,1530.0 sq.ft. | 1147.0 sq.ft.,6535,2024-11-25
216969,Apartment,14500000,1945.0 sq.ft.,7455,2024-11-13
156968,Penthouse,34500000,3808.0 sq.ft.,9059,2025-04-10
217587,Apartment,8000000,1530.0 sq.ft.,5228,2024-10-27
161755,Apartment,14500000,2245.0 sq.ft. | 1645.0 sq.ft.,6458,2025-01-19
220765,Apartment,9000000,1295.0 sq.ft.,6950,2024-11-15
38245,Other,15000000,1950.0 sq.ft.,7692,2025-03-21
40417,Apartment,16000000,1945.0 sq.ft.,7712,2025-03-17
161985,Other,8000000,1295.0 sq.ft.,6178,2025-01-30
178371,Apartment,14500000,1945.0 sq.ft. | 1610.0 sq.ft.,7455,2025-03-20
191550,Apartment,12000000,1530.0 sq.ft.,7189,2024-10-15
157181,Penthouse,32300000,3808.0 sq.ft.,8482,2025-04-10
189398,Other,9500000,1295.0 sq.ft.,6949,2024-08-03
86158,Apartment,14000000,1530.0 sq.ft. | 1350.0 sq.ft. | 1200.0 sq.ft.,9000,2025-02-28
149784,Apartment,18500000,1945.0 sq.ft.,7712,2025-03-30
187708,Apartment,14000000,1530.0 sq.ft. | 1350.0 sq.ft. | 1200.0 sq.ft.,9000,2024-10-29
162102,Apartment,13800000,2215.0 sq.ft.,6230,2025-01-23
216996,Apartment,10000000,1945.0 sq.ft. | 1660.0 sq.ft.,5141,2024-11-12
211976,Apartment,14500000,1945.0 sq.ft. | 1645.0 sq.ft.,7455,2025-03-25
162098,Apartment,14500000,2215.0 sq.ft.,6546,2025-01-23
162100,Apartment,14000000,2215.0 sq.ft.,6320,2025-01-23
101007,Apartment,6418020,1297.0 sq.ft.,4948,2025-02-06
220451,Other,15000000,1945.0 sq.ft.,7712,2024-11-15
162104,Apartment,13500000,2215.0 sq.ft.,6094,2025-01-22
220837,Apartment,7950000,1295.0 sq.ft. | 1250.0 sq.ft.,6061,2024-11-13
184371,Apartment,16000000,1945.0 sq.ft.,9511,2025-04-18
91285,Apartment,18000000,1945.0 sq.ft.,9254,2025-02-15
190705,Apartment,8000000,1530.0 sq.ft.,5228,2025-04-10
217763,Apartment,15500000,1945.0 sq.ft.,7969,2024-10-24
